74241;100001
74242;100002
74243;100004
10723;100011
74248;100016
55634;100046
74266;100056
74271;100067
74251;100079
1026;100092
475;100137
74296;100154
7525;100172
81241;100211
74318;100232
74335;100277
74344;100301
5080;100326
2802;100436
317;100497
74411;100562
1083;100667
66971;100704
74520;100862
74548;100904
74549;100947
74579;100991
11700;101036
74614;101082
74630;101129
9123;101177
74318;101226
4029;101327
1055;101379
157739;101432
157739;101486
1802;101597
71495;101654
5369;101712
17198;101771
74801;101831
74857;101954
74054;102146
2059;102212
1060;102279
75061;102347
4093;102416
409;102486
1302;102776
7788;102851
75177;103004
6362;103082
15030;103161
1439;103241
75321;103571
13160;103656
10874;103742
896;103829
10375;103917
1523638;104006
75460;104096
59511;104187
564;104279
9924;104372
3197;104466
5080;104561
73166;104657
381;104754
201993;104852
75659;104951
